time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
2021-06-17T15:56:24.175,0.06,-0.41,9.83,0.0625,0.125,-0.0625,-16.1875,10.75,-44.375
2021-06-17T15:56:24.187,0.07,-0.4,9.84,0.125,0.0,0.0625,-16.1875,10.75,-44.375
2021-06-17T15:56:24.2,0.05,-0.4,9.85,0.0,-0.125,-0.0625,-16.1875,10.75,-44.375
2021-06-17T15:56:24.213,0.03,-0.4,9.85,0.0,0.125,-0.0625,-16.875,8.875,-45.5625
2021-06-17T15:56:24.226,0.06,-0.37,9.83,-0.0625,0.0,0.0,-16.875,8.875,-45.5625
2021-06-17T15:56:24.239,0.05,-0.4,9.84,-0.0625,0.0,-0.125,-16.875,8.875,-45.5625
2021-06-17T15:56:24.251,0.06,-0.39,9.83,-0.0625,0.0,-0.0625,-16.875,8.875,-45.5625
2021-06-17T15:56:24.265,0.05,-0.4,9.86,0.0,0.0,0.125,-16.1875,8.5,-45.5625
2021-06-17T15:56:24.278,0.06,-0.4,9.83,0.0,0.0,-0.0625,-16.1875,8.5,-45.5625
2021-06-17T15:56:24.291,0.06,-0.4,9.83,0.0,-0.125,0.0,-16.1875,8.5,-45.5625
2021-06-17T15:56:24.304,0.06,-0.4,9.84,-0.0625,-0.0625,0.0625,-16.875,8.875,-45.5625
2021-06-17T15:56:24.317,0.07,-0.4,9.83,-0.0625,-0.0625,0.0625,-16.875,8.875,-45.5625
2021-06-17T15:56:24.329,0.04,-0.41,9.83,-0.125,0.0,0.1875,-16.875,8.875,-45.5625
2021-06-17T15:56:24.342,0.06,-0.42,9.83,-0.125,-0.0625,0.0,-16.875,8.875,-45.5625
2021-06-17T15:56:24.377,0.05,-0.4,9.83,0.0625,0.0,0.125,-15.375,9.25,-46.75
2021-06-17T15:56:24.39,0.05,-0.42,9.84,0.125,0.0,0.125,-15.375,9.25,-46.75
2021-06-17T15:56:24.402,0.04,-0.4,9.86,-0.0625,0.0,0.0,-15.75,8.875,-45.25
2021-06-17T15:56:24.415,0.06,-0.39,9.85,0.0625,0.125,0.125,-15.75,8.875,-45.25
2021-06-17T15:56:24.428,0.06,-0.4,9.83,0.0625,0.0625,0.0,-15.75,8.875,-45.25
2021-06-17T15:56:24.441,0.05,-0.39,9.85,0.0,0.0625,0.0625,-15.75,8.875,-45.25
2021-06-17T15:56:24.454,0.06,-0.4,9.85,0.0625,-0.0625,0.0625,-17.25,8.875,-44.375
2021-06-17T15:56:24.467,0.07,-0.4,9.86,0.0,0.0,0.0,-17.25,8.875,-44.375
2021-06-17T15:56:24.479,0.05,-0.4,9.84,0.0625,-0.0625,0.125,-17.25,8.875,-44.375
2021-06-17T15:56:24.492,0.08,-0.41,9.86,0.0625,0.125,0.0,-17.25,8.875,-44.375
2021-06-17T15:56:24.505,0.05,-0.41,9.87,0.0,0.0625,0.125,-16.1875,8.1875,-46.75
2021-06-17T15:56:24.518,0.07,-0.41,9.85,-0.125,-0.125,0.0,-16.1875,8.1875,-46.75
2021-06-17T15:56:24.531,0.05,-0.4,9.83,0.0,0.0,0.0625,-16.1875,8.1875,-46.75
2021-06-17T15:56:24.544,0.04,-0.4,9.85,-0.0625,-0.0625,0.0625,-16.1875,8.1875,-46.75
2021-06-17T15:56:24.557,0.05,-0.42,9.83,0.0625,0.0,0.0,-16.1875,8.875,-46.0625
